Rank,Player Name,Country,Points,Tournaments,Last Update,Rank Change
1,KIM Won Ho / SEO Seung Jae,Korea,116605,17,2025-12-16,—
2,Aaron CHIA / SOH Wooi Yik,Malaysia,91250,20,2025-12-16,—
3,Satwiksairaj RANKIREDDY / Chirag SHETTY,India,80290,15,2025-12-16,—
4,MAN Wei Chong / TEE Kai Wun,Malaysia,76383,20,2025-12-16,▲1
5,LIANG Wei Keng / WANG Chang,China,73776,18,2025-12-16,▲2
6,GOH Sze Fei / Nur IZZUDDIN,Malaysia,73630,19,2025-12-16,▼2
7,CHEN Bo yang / LIU Yi,China,66942,18,2025-12-16,▲3
8,Fajar ALFIAN / Muhammad Shohibul FIKRI,Indonesia,66590,8,2025-12-16,▲3
9,Kim ASTRUP / Anders Skaarup RASMUSSEN,Denmark,66201,17,2025-12-16,▼3
10,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI,Indonesia,65100,18,2025-12-16,▼2
11,Takuro HOKI / Yugo KOBAYASHI,Japan,64841,13,2025-12-16,▲1
12,Fajar ALFIAN / Muhammad Rian ARDIANTO,Indonesia,61754,10,2025-12-16,▼3
13,LEE Jhe-Huei / YANG Po-Hsuan,Chinese Taipei,59010,22,2025-12-16,—
14,Dechapol PUAVARANUKROH / Kittinupong KEDREN,Thailand,57722,19,2025-12-16,—
15,Ben LANE / Sean VENDY,England,57089,15,2025-12-16,—
16,CHIU Hsiang Chieh / WANG Chi-Lin,Chinese Taipei,56409,25,2025-12-16,—
17,Junaidi ARIF / YAP Roy King,Malaysia,53710,24,2025-12-16,—
18,LEE Fang-Chih / LEE Fang-Jen,Chinese Taipei,52930,23,2025-12-16,—
19,Leo Rolly CARNANDO / Bagas MAULANA,Indonesia,52850,16,2025-12-16,—
20,Christo POPOV / Toma Junior POPOV,France,51387,19,2025-12-16,—
