Rank,Player Name,Country,Points,Tournaments,Last Update,Rank Change
1,SHI Yu Qi,China,104467,11,2025-12-16,—
2,Kunlavut VITIDSARN,Thailand,94679,17,2025-12-16,▲1
3,Anders ANTONSEN,Denmark,91113,16,2025-12-16,▼1
4,LI Shi Feng,China,79878,17,2025-12-16,▲1
5,Jonatan CHRISTIE,Indonesia,78924,17,2025-12-16,▼1
6,CHOU Tien Chen,Chinese Taipei,77039,26,2025-12-16,—
7,Alex LANIER,France,72611,15,2025-12-16,—
8,Christo POPOV,France,70690,19,2025-12-16,—
9,Kodai NARAOKA,Japan,66494,22,2025-12-16,—
10,LOH Kean Yew,Singapore,65709,20,2025-12-16,—
11,WENG Hong Yang,China,63710,19,2025-12-16,—
12,LIN Chun-Yi,Chinese Taipei,62130,22,2025-12-16,—
13,Lakshya SEN,India,60402,21,2025-12-16,—
14,Kenta NISHIMOTO,Japan,59732,25,2025-12-16,—
15,Toma Junior POPOV,France,55101,19,2025-12-16,—
16,LU Guang Zu,China,55050,19,2025-12-16,—
17,Alwi FARHAN,Indonesia,54350,21,2025-12-16,—
18,LEE Cheuk Yiu,Hong Kong,51422,19,2025-12-16,—
19,Yushi TANAKA,Japan,50332,23,2025-12-16,—
20,LEE Chia Hao,Chinese Taipei,50018,24,2025-12-16,—
