Rank,Player Name,Country,Points,Tournaments,Last Update,Rank Change
1,FENG Yan Zhe / HUANG Dong Ping,China,99757,14,2025-12-16,▲1
2,JIANG Zhen Bang / WEI Ya Xin,China,98352,15,2025-12-16,▼1
3,Dechapol PUAVARANUKROH / Supissara PAEWSAMPRAN,Thailand,92515,21,2025-12-16,▲1
4,CHEN Tang Jie / TOH Ee Wei,Malaysia,88663,16,2025-12-16,▼1
5,Thom GICQUEL / Delphine DELRUE,France,81364,17,2025-12-16,—
6,GUO Xin Wa / CHEN Fang Hui,China,78490,18,2025-12-16,—
7,TANG Chun Man / TSE Ying Suet,Hong Kong,73724,12,2025-12-16,—
8,Hiroki MIDORIKAWA / Natsu SAITO,Japan,73338,19,2025-12-16,—
9,GOH Soon Huat / LAI Shevon Jemie,Malaysia,68308,21,2025-12-16,—
10,Jafar HIDAYATULLAH / Felisha Alberta Nathaniel PASARIBU,Indonesia,63810,19,2025-12-16,—
11,Jesper TOFT / Amalie MAGELUND,Denmark,61296,19,2025-12-16,—
12,Mathias CHRISTIANSEN / Alexandra BØJE,Denmark,60060,10,2025-12-16,—
13,Ruttanapak OUPTHONG / Jhenicha SUDJAIPRAPARAT,Thailand,58090,23,2025-12-16,—
14,CHENG Xing / ZHANG Chi,China,55490,14,2025-12-16,—
15,Rehan Naufal KUSHARJANTO / Gloria Emanuelle WIDJAJA,Indonesia,55490,12,2025-12-16,—
16,YE Hong Wei / Nicole Gonzales CHAN,Chinese Taipei,54920,24,2025-12-16,—
17,DHRUV KAPILA / Tanisha CRASTO,India,51948,20,2025-12-16,▲1
18,YANG Po-Hsuan / HU Ling Fang,Chinese Taipei,49776,22,2025-12-16,▼1
19,Amri SYAHNAWI / Nita Violina MARWAH,Indonesia,48830,18,2025-12-16,—
20,Yuichi SHIMOGAMI / Sayaka HOBARA,Japan,46860,16,2025-12-16,—
