Rank,Player Name,Country,Points,Tournaments,Last Update,Rank Change
1,AN Se Young,Korea,113770,15,2025-12-16,—
2,WANG Zhi Yi,China,100562,16,2025-12-16,—
3,Akane YAMAGUCHI,Japan,90764,15,2025-12-16,—
4,CHEN Yu Fei,China,89935,16,2025-12-16,▲1
5,HAN Yue,China,87050,15,2025-12-16,▼1
6,Pornpawee CHOCHUWONG,Thailand,71488,18,2025-12-16,—
7,Putri Kusuma WARDANI,Indonesia,69730,20,2025-12-16,—
8,Ratchanok INTANON,Thailand,68064,21,2025-12-16,—
9,Tomoka MIYAZAKI,Japan,63064,21,2025-12-16,—
10,SIM Yu Jin,Korea,57989,13,2025-12-16,▲1
11,GAO Fang jie,China,56550,17,2025-12-16,▲2
12,Michelle LI,Canada,55980,21,2025-12-16,▲2
13,CHIU Pin-Chian,Chinese Taipei,53927,25,2025-12-16,▲3
14,Gregoria Mariska TUNJUNG,Indonesia,53660,11,2025-12-16,▼4
15,Supanida KATETHONG,Thailand,51827,14,2025-12-16,▼3
16,KIM Ga Eun,Korea,51650,12,2025-12-16,▲1
17,YEO Jia Min,Singapore,51423,14,2025-12-16,▲1
18,PUSARLA V. Sindhu,India,50574,14,2025-12-16,▲1
19,Busanan ONGBAMRUNGPHAN,Thailand,50090,17,2025-12-16,▼4
20,Mia BLICHFELDT,Denmark,49950,13,2025-12-16,—
